title,id,revenue,genres,belongs_to_collection,runtime
Nacho Libre,9353,99255460,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,92
Two Hearts in Wax Time,288415,0,"[{'id': 10402, 'name': 'Music'}, {'id': 14, 'name': 'Fantasy'}]",,15
Robot Mom,150353,0,"[{'id': 35, 'name': 'Comedy'}]",,90
The Return of James Battle,25714,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",,92
City Hunter: .357 Magnum,38954,0,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","{'id': 216545, 'name': 'City Hunter', 'poster_path': '/hCoSPFCOzYs0UJ8sJKVaSeL90Kf.jpg', 'backdrop_path': None}",80
Holla If I Kill You,146163,0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",,81
Ein Mann zum Vernaschen,84853,0,"[{'id': 35, 'name': 'Comedy'}]",,0
City of Splendour,267191,0,"[{'id': 99, 'name': 'Documentary'}]",,105
Dragon Country,264758,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",,80
The Vintner's Festival - Vevey 1905,196269,0,"[{'id': 14, 'name': 'Fantasy'}]",,11
Time Warped,112476,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",,24
Tenth Avenue Kid,150518,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,66
